what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348416695682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348420673520
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348420673536
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348420683170
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348420704991
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348420708085
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348420709222
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348420738935
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348420748422
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1348420748451
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421200654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421208176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421216363
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1348421216394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421217427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421374014
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421375187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421375259
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348421375647
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348421378897
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1348421405269
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1348421421051
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1348421421096
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421434858
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421440540
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348421449762
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421452387
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421455836
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348421468002
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348421486737
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348421491065
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348421491946
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348421582148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348421584328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348421585159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348421588290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421588907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421601600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421602738
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421604476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421605758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421618406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1348421618421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421619322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421767664
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348421782786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421799438
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421803021
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348421808806
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348421867837
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348421869296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348421869698
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421870601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421881671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421885336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421893100
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1348421893121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421893761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421900340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348421902666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348422032911
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348422032929
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348422035527
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348422079772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348422082531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348422089177
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348422091658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348422098954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1348422098968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348422100849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348422483037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348422652803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348422688525
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348422689552
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348422707323
